epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9048,2.46227,3.34649,2.39753,0.00054,0.31579,0.00166,0.00024,1.42929,130.941,1.61346,0,0,0
2,70.5599,2.707,3.31403,2.65487,0.00054,0.31579,0.00069,0.00015,1.41531,130.975,1.60088,1.9604e-05,1.9604e-05,1.9604e-05
3,104.089,2.71022,3.37135,2.69129,0.00054,0.31579,0.00103,0.00023,1.40529,130.926,1.59099,3.8416e-05,3.8416e-05,3.8416e-05
4,140.944,2.44659,3.21831,2.44498,0.0009,0.52632,0.00163,0.00035,1.36249,130.825,1.54986,5.6436e-05,5.6436e-05,5.6436e-05
5,174.788,2.37696,3.17753,2.42046,0.00099,0.57895,0.00227,0.00058,1.3442,130.588,1.5096,7.3664e-05,7.3664e-05,7.3664e-05
6,212.847,2.41207,3.20151,2.38944,0.00117,0.68421,0.00413,0.00105,1.3421,130.246,1.48249,9.01e-05,9.01e-05,9.01e-05
7,248.805,2.34246,3.13728,2.39125,0.00126,0.73684,0.0052,0.00186,1.31419,129.822,1.43104,0.000105744,0.000105744,0.000105744
8,285.802,2.24655,3.0636,2.24228,0.00126,0.73684,0.01932,0.00371,1.28947,129.245,1.39237,0.000120596,0.000120596,0.000120596
9,320.13,2.32154,3.11716,2.2914,0.00126,0.73684,0.04365,0.01148,1.27527,128.532,1.36274,0.000134656,0.000134656,0.000134656
10,355.153,2.32594,3.19949,2.2523,0.00126,0.73684,0.04439,0.01625,1.21218,127.659,1.30153,0.000147924,0.000147924,0.000147924
11,389.666,2.21184,2.98248,2.19809,0.00135,0.78947,0.09802,0.0392,1.19159,126.638,1.24173,0.0001604,0.0001604,0.0001604
12,422.662,2.07638,2.79003,2.07503,0.00135,0.78947,0.11755,0.04735,1.14995,125.491,1.15006,0.000172084,0.000172084,0.000172084
13,455.581,2.09767,2.759,1.91869,0.00135,0.78947,0.11594,0.05854,1.1289,124.251,1.11045,0.000182976,0.000182976,0.000182976
14,489.654,2.08039,2.66861,2.00696,0.00144,0.84211,0.10436,0.05978,1.1518,122.88,1.12289,0.000193076,0.000193076,0.000193076
15,521.73,2.16443,2.58505,1.97769,0.00117,0.68421,0.11076,0.07082,1.12238,121.431,1.12009,0.000202384,0.000202384,0.000202384
16,554.401,2.12801,2.65243,2.00297,0.00135,0.78947,0.09463,0.06147,1.15694,119.918,1.1504,0.0002109,0.0002109,0.0002109
17,586.745,2.00458,2.40299,1.91015,0.00135,0.78947,0.09757,0.06299,1.16697,118.012,1.17364,0.000218624,0.000218624,0.000218624
18,619.275,1.98067,2.33838,1.89256,0.00135,0.78947,0.09757,0.06299,1.16697,118.012,1.17364,0.000225556,0.000225556,0.000225556
19,652.148,1.89803,2.29851,1.80085,0.00126,0.73684,0.05871,0.03144,1.14918,115.276,1.16597,0.000231696,0.000231696,0.000231696
20,684.682,1.88179,2.30609,1.85257,0.00126,0.73684,0.05871,0.03144,1.14918,115.276,1.16597,0.000237044,0.000237044,0.000237044
21,716.789,1.88559,2.12378,1.75473,0.00135,0.78947,0.05734,0.02293,1.15883,111.759,1.17851,0.0002416,0.0002416,0.0002416
22,750.003,1.9663,2.30172,1.86993,0.00135,0.78947,0.05734,0.02293,1.15883,111.759,1.17851,0.000245364,0.000245364,0.000245364
23,782.682,1.87979,2.38629,1.83158,0.00144,0.84211,0.06459,0.02286,1.17393,108.213,1.16212,0.000248336,0.000248336,0.000248336
24,815.159,1.78755,2.32332,1.78707,0.00144,0.84211,0.06459,0.02286,1.17393,108.213,1.16212,0.000250516,0.000250516,0.000250516
25,853.616,1.79542,2.21359,1.77582,0.00153,0.89474,0.04578,0.0179,1.19067,103.947,1.16601,0.000251904,0.000251904,0.000251904
